Timestamp;HEX1_Ta_inlet (degC (Ave));HEX1_Ta_outlet (degC (Ave));HEX1_v_outlet (m/s)
21/05/2024 16:55;22.9500132;22.3928376;0.7422016
21/05/2024 17:00;23.490264;22.440946;0.739607
21/05/2024 17:15;22.1448575;22.485534;0.7409015
21/05/2024 17:20;21.736794;22.4770968;0.7403178
21/05/2024 17:25;21.2585632;22.39055;0.7482588
21/05/2024 17:30;20.926652;22.50002;0.794333
21/05/2024 17:45;18.6232885;22.2949345;0.74562225
21/05/2024 17:50;18.6754056;22.29303;0.7422964
21/05/2024 17:55;18.2626316;22.30482;0.702375
21/05/2024 18:00;18.05959;22.350476;0.712519
21/05/2024 18:15;18.1435775;22.3073225;0.728352
21/05/2024 18:20;17.9532784;22.278652;0.7132818
21/05/2024 18:25;17.8913232;22.2475952;0.747276
21/05/2024 18:30;17.764046;22.183734;0.735969
21/05/2024 18:45;17.7116375;22.1592215;0.70954025
21/05/2024 18:50;17.6757992;22.1538632;0.747305
21/05/2024 18:55;17.5674888;22.1142684;0.7435024
21/05/2024 19:00;17.994046;22.109786;0.755585
21/05/2024 19:15;18.717215;21.9505425;0.7509075
21/05/2024 19:20;18.7231944;21.9918876;0.7424758
21/05/2024 19:25;18.8300556;21.9932836;0.7289716
21/05/2024 19:30;18.831626;21.96954;0.727059
21/05/2024 19:45;18.1417015;21.9608705;0.7133205
21/05/2024 19:50;17.6579324;21.929256;0.7185746
21/05/2024 19:55;17.870648;21.9200512;0.7432006
21/05/2024 20:00;17.921288;21.862664;0.762537
21/05/2024 20:15;17.5973895;21.8911185;0.737577
21/05/2024 20:20;17.631858;21.8501948;0.740444
21/05/2024 20:25;17.8182812;21.8262484;0.7526056
21/05/2024 20:30;17.779702;21.858184;0.753901
21/05/2024 20:45;17.9809575;21.8273965;0.745159
21/05/2024 20:50;17.8547084;21.7931636;0.7448156
21/05/2024 20:55;17.631292;21.7908312;0.7411886
21/05/2024 21:00;17.532254;21.818292;0.737225
21/05/2024 21:15;17.147893;21.729175;0.74816025
21/05/2024 21:20;17.0989048;21.6909832;0.7357838
21/05/2024 21:25;17.0537536;21.7281896;0.7484394
21/05/2024 21:30;17.114304;21.653132;0.726553
21/05/2024 21:45;16.839757;21.6994725;0.73924875
21/05/2024 21:50;16.9229836;21.6222728;0.7172042
21/05/2024 21:55;16.7753644;21.6529324;0.7360618
21/05/2024 22:00;16.601094;21.708918;0.737538
21/05/2024 22:15;16.4518035;21.589662;0.71519125
21/05/2024 22:20;16.4355508;21.5033556;0.7103808
21/05/2024 22:25;16.3268744;21.5553964;0.732625
21/05/2024 22:30;16.288874;21.532096;0.725144
21/05/2024 22:45;16.2169415;21.469671;0.73304675
21/05/2024 22:50;16.1752624;21.4514688;0.7417214
21/05/2024 22:55;16.2787492;21.4218476;0.746437
21/05/2024 23:00;16.269712;21.374978;0.763477
