Time (s),T_air_outlet (°C)
2023-12-21 18:55:00,-inf
2023-12-21 19:00:00,-inf
2023-12-21 19:15:00,-inf
2023-12-21 19:20:00,-inf
2023-12-21 19:25:00,-inf
2023-12-21 19:30:00,-inf
2023-12-21 19:45:00,-inf
2023-12-21 19:50:00,-inf
2023-12-21 19:55:00,-inf
2023-12-21 20:00:00,-inf
2023-12-21 20:15:00,-inf
2023-12-21 20:20:00,-inf
2023-12-21 20:25:00,-inf
2023-12-21 20:30:00,-inf
2023-12-21 20:45:00,-inf
2023-12-21 20:50:00,-inf
2023-12-21 20:55:00,-inf
2023-12-21 21:00:00,-inf
2023-12-21 21:15:00,-inf
2023-12-21 21:20:00,-inf
2023-12-21 21:25:00,-inf
2023-12-21 21:30:00,-inf
2023-12-21 21:45:00,-inf
2023-12-21 21:50:00,-inf
2023-12-21 21:55:00,-inf
2023-12-21 22:00:00,-inf
2023-12-21 22:15:00,-inf
2023-12-21 22:20:00,-inf
2023-12-21 22:25:00,-inf
2023-12-21 22:30:00,-inf
2023-12-21 22:45:00,-inf
2023-12-21 22:50:00,-inf
2023-12-21 22:55:00,-inf
2023-12-21 23:00:00,-inf
2023-12-21 23:15:00,-inf
2023-12-21 23:20:00,-inf
2023-12-21 23:25:00,-inf
2023-12-21 23:30:00,-inf
2023-12-21 23:45:00,-inf
2023-12-21 23:50:00,-inf
2023-12-21 23:55:00,-inf
2023-12-22 00:00:00,-inf
2023-12-22 00:15:00,-inf
2023-12-22 00:20:00,-inf
2023-12-22 00:25:00,-inf
2023-12-22 00:30:00,-inf
2023-12-22 00:45:00,-inf
2023-12-22 00:50:00,-inf
2023-12-22 00:55:00,-inf
2023-12-22 01:00:00,-inf
2023-12-22 01:15:00,-inf
2023-12-22 01:20:00,-inf
2023-12-22 01:25:00,-inf
2023-12-22 01:30:00,-inf
2023-12-22 01:45:00,-inf
2023-12-22 01:50:00,-inf
2023-12-22 01:55:00,-inf
2023-12-22 02:00:00,-inf
2023-12-22 02:15:00,-inf
2023-12-22 02:20:00,-inf
2023-12-22 02:25:00,-inf
2023-12-22 02:30:00,-inf
2023-12-22 02:45:00,-inf
2023-12-22 02:50:00,-inf
2023-12-22 02:55:00,-inf
2023-12-22 03:00:00,-inf
2023-12-22 03:15:00,-inf
2023-12-22 03:20:00,-inf
2023-12-22 03:25:00,-inf
2023-12-22 03:30:00,-inf
2023-12-22 03:45:00,-inf
